customer_id,Recency,Frequency,Monetary,R,F,M,RFM
148,45,5,3268.4,2,3,3,26.6666666666667
149,20,5,2129.34,1,3,2,20
150,77,4,2446.51,3,2,3,26.6666666666667
151,2,7,5665.41,1,4,5,33.3333333333333
152,160,2,1966.88,5,1,2,26.6666666666667
153,66,7,5522.51,2,4,5,36.6666666666667
154,25,5,683.63,1,3,1,16.6666666666667
155,10,3,1088.42,1,1,1,10
156,18,5,3095.37,1,3,3,23.3333333333333
157,137,3,381.42,4,1,1,20
158,67,6,4627.35,2,4,4,33.3333333333333
159,68,6,2935.37,2,4,3,30
160,95,2,2614.16,3,1,3,23.3333333333333
161,161,1,459.46,5,,1,
162,100,3,1329.61,3,1,2,20
163,116,2,1101.28,4,1,1,20
164,200,3,786.14,6,1,1,26.6666666666667
165,10,9,6182.52,1,6,6,43.3333333333333
166,65,8,4197.44,2,5,4,36.6666666666667
167,16,9,5993.34,1,6,6,43.3333333333333
168,138,8,5800.6,4,5,5,46.6666666666667
169,63,3,696.26,2,1,1,13.3333333333333
170,102,3,1369.16,3,1,2,20
171,20,8,4833.14,1,5,5,36.6666666666667
172,13,7,2348.66,1,4,3,26.6666666666667
173,17,9,6549.51,1,6,6,43.3333333333333
174,13,10,7628.24,1,7,7,50
175,66,5,2170.54,2,3,2,23.3333333333333
176,24,5,3090.07,1,3,3,23.3333333333333
177,39,11,3980.14,2,7,4,43.3333333333333
178,34,4,2184.58,1,2,2,16.6666666666667
179,42,3,1814.59,2,1,2,16.6666666666667
180,13,7,4065.35,1,4,4,30
181,52,5,2365.24,2,3,3,26.6666666666667
182,15,7,5409.12,1,4,5,33.3333333333333
183,104,6,3187.84,3,4,3,33.3333333333333
184,34,3,2181.35,1,1,2,13.3333333333333
185,10,7,3547.68,1,4,4,30
186,25,6,2166.17,1,4,2,23.3333333333333
187,16,7,3014.88,1,4,3,26.6666666666667
188,17,6,2658.87,1,4,3,26.6666666666667
189,5,5,5329.98,1,3,5,30
190,209,3,699.48,6,1,1,26.6666666666667
191,107,1,834.94,3,,1,
192,81,4,1519.47,3,2,2,23.3333333333333
193,26,5,2551.5,1,3,3,23.3333333333333
194,110,3,2608.28,3,1,3,23.3333333333333
195,2,7,9633.41,1,4,9,46.6666666666667
196,148,8,3738,4,5,4,43.3333333333333
197,29,9,3651.71,1,6,4,36.6666666666667
198,60,9,6631.87,2,6,6,46.6666666666667
199,17,4,2650.53,1,2,3,20
200,9,9,7283.86,1,6,7,46.6666666666667
201,30,7,4159.18,1,4,4,30
202,20,3,1295.91,1,1,2,13.3333333333333
203,13,5,1481.12,1,3,2,20
204,29,8,6287.29,1,5,6,40
205,54,9,2008.27,2,6,2,33.3333333333333
206,79,4,3816.65,3,2,4,30
207,281,3,1630.03,8,1,2,36.6666666666667
208,29,5,3342.02,1,3,3,23.3333333333333
209,109,5,3081.07,3,3,3,30
210,24,6,2957.03,1,4,3,26.6666666666667
211,41,9,4090.05,2,6,4,40
212,189,2,1790.41,6,1,2,30
213,30,11,8544.5,1,7,8,53.3333333333333
214,58,6,2498.84,2,4,3,30
215,5,8,3889.39,1,5,4,33.3333333333333
216,18,4,2152.05,1,2,2,16.6666666666667
217,6,8,2335.69,1,5,3,30
218,16,4,1476.17,1,2,2,16.6666666666667
219,42,6,1688.33,2,4,2,26.6666666666667
220,17,6,4304.11,1,4,4,30
221,20,6,3865.68,1,4,4,30
222,22,2,1428.06,1,1,2,13.3333333333333
223,54,7,4410.07,2,4,4,33.3333333333333
224,3,5,2461.79,1,3,3,23.3333333333333
225,39,3,1587.55,2,1,2,16.6666666666667
226,118,2,1173.86,4,1,2,23.3333333333333
227,28,5,3906.03,1,3,4,26.6666666666667
228,79,5,3719.75,3,3,4,33.3333333333333
229,62,5,1811.84,2,3,2,23.3333333333333
230,38,10,4745.01,2,7,5,46.6666666666667
231,47,4,2344.52,2,2,3,23.3333333333333
232,143,6,3157.59,4,4,3,36.6666666666667
233,19,6,2187.09,1,4,2,23.3333333333333
234,13,9,5763.13,1,6,5,40
235,4,11,4685.82,1,7,5,43.3333333333333
236,8,4,2434.64,1,2,3,20
237,28,8,3635.04,1,5,4,33.3333333333333
238,109,5,3112.57,3,3,3,30
239,3,9,5928.23,1,6,6,43.3333333333333
240,90,5,1893,3,3,2,26.6666666666667
241,49,4,1922.82,2,2,2,20
242,133,7,2558.7,4,4,3,36.6666666666667
243,76,5,2193.55,3,3,2,26.6666666666667
244,196,3,3269.2,6,1,3,33.3333333333333
245,14,5,2213.02,1,3,2,20
246,29,9,3174.16,1,6,3,33.3333333333333
247,114,7,4913.16,4,4,5,43.3333333333333
248,136,6,3059.94,4,4,3,36.6666666666667
249,49,9,2236.13,2,6,2,33.3333333333333
250,33,7,4019.05,1,4,4,30
251,40,4,1210,2,2,2,20
252,64,5,2597.64,2,3,3,26.6666666666667
253,19,4,1116.15,1,2,1,13.3333333333333
254,43,7,6780.95,2,4,6,40
255,59,11,6813.82,2,7,6,50
256,2,5,1728.66,1,3,2,20
257,94,5,3650.53,3,3,4,33.3333333333333
258,20,5,1642.58,1,3,2,20
259,29,4,2124.65,1,2,2,16.6666666666667
260,10,9,3381.41,1,6,3,33.3333333333333
261,52,9,4033.15,2,6,4,40
262,12,5,2117.86,1,3,2,20
263,48,7,3476.94,2,4,3,30
264,132,3,198.14,4,1,1,20
265,81,4,2692.91,3,2,3,26.6666666666667
266,34,4,1742.83,1,2,2,16.6666666666667
267,132,4,2337.99,4,2,3,30
268,71,4,2713.19,2,2,3,23.3333333333333
269,170,5,1668.85,5,3,2,33.3333333333333
270,9,7,4625.21,1,4,4,30
271,204,2,1026.27,6,1,1,26.6666666666667
272,93,7,3842.07,3,4,4,36.6666666666667
273,30,10,6519.24,1,7,6,46.6666666666667
274,151,4,790.06,5,2,1,26.6666666666667
275,134,7,4141.68,4,4,4,40
276,5,6,1107.95,1,4,1,20
277,23,4,1967.13,1,2,2,16.6666666666667
278,250,1,827.16,7,,1,
279,16,6,2455.93,1,4,3,26.6666666666667
280,45,11,7360.53,2,7,7,53.3333333333333
281,11,4,2233.67,1,2,2,16.6666666666667
282,71,2,624.15,2,1,1,13.3333333333333
283,93,6,4926.57,3,4,5,40
284,135,5,3251.42,4,3,3,33.3333333333333
285,9,6,2626.74,1,4,3,26.6666666666667
286,157,3,1737.19,5,1,2,26.6666666666667
288,46,4,1808.73,2,2,2,20
289,46,9,3924.11,2,6,4,40
290,13,5,3368.28,1,3,3,23.3333333333333
291,42,2,605.01,2,1,1,13.3333333333333
292,60,7,3631.6,2,4,4,33.3333333333333
293,12,5,1991.93,1,3,2,20
294,117,7,5509.67,4,4,5,43.3333333333333
295,36,7,4539.9,1,4,4,30
296,10,3,2515.29,1,1,3,16.6666666666667
297,10,4,3599.18,1,2,4,23.3333333333333
298,10,10,5285.59,1,7,5,43.3333333333333
299,94,7,6897.92,3,4,6,43.3333333333333
300,158,5,3475.9,5,3,3,36.6666666666667
301,95,2,89.71,3,1,1,16.6666666666667
302,278,2,255.41,8,1,1,33.3333333333333
303,45,3,3247.08,2,1,3,20
304,82,9,2785.04,3,6,3,40
305,35,7,2700.88,1,4,3,26.6666666666667
306,125,2,239.35,4,1,1,20
307,17,8,3465.61,1,5,3,30
308,27,6,4086.21,1,4,4,30
309,11,4,2208.58,1,2,2,16.6666666666667
310,10,7,4744.19,1,4,5,33.3333333333333
311,63,6,4054.48,2,4,4,33.3333333333333
312,15,6,5001.71,1,4,5,33.3333333333333
313,19,6,3186.63,1,4,3,26.6666666666667
314,22,8,3200.15,1,5,3,30
315,29,9,2200.11,1,6,2,30
316,13,4,2158.71,1,2,2,16.6666666666667
317,53,5,3537.39,2,3,4,30
318,11,7,3632.18,1,4,4,30
319,73,5,3955.91,2,3,4,30
320,14,10,7204.66,1,7,7,50
321,14,5,2006.18,1,3,2,20
322,3,12,10341.57,1,8,9,60
323,37,6,2020.73,2,4,2,26.6666666666667
324,23,5,1779.7,1,3,2,20
325,135,6,4465.08,4,4,4,40
326,163,3,1201.25,5,1,2,26.6666666666667
327,18,5,3498.63,1,3,3,23.3333333333333
328,6,8,2357.8,1,5,3,30
329,36,6,3618.01,1,4,4,30
330,109,6,5296.8,3,4,5,40
331,84,6,4404.67,3,4,4,36.6666666666667
332,265,2,239.35,8,1,1,33.3333333333333
333,24,7,3320.1,1,4,3,26.6666666666667
334,58,6,2127.59,2,4,2,26.6666666666667
335,26,2,456.99,1,1,1,10
336,84,5,2598.16,3,3,3,30
337,39,6,3388.82,2,4,3,30
338,12,7,2343.71,1,4,3,26.6666666666667
339,60,5,4327.24,2,3,4,30
340,32,8,2781.36,1,5,3,30
341,136,2,955.08,4,1,1,20
342,95,4,667.15,3,2,1,20
343,135,8,3914.16,4,5,4,43.3333333333333
344,10,9,8101.26,1,6,7,46.6666666666667
345,21,7,3971.46,1,4,4,30
346,14,9,6420.7,1,6,6,43.3333333333333
347,61,7,8326.37,2,4,8,46.6666666666667
348,127,6,2071.99,4,4,2,33.3333333333333
349,168,5,1669.26,5,3,2,33.3333333333333
350,6,6,1008.71,1,4,1,20
351,13,2,1438.62,1,1,2,13.3333333333333
352,27,6,4404.4,1,4,4,30
353,25,11,6792.83,1,7,6,46.6666666666667
354,69,6,3101.72,2,4,3,30
355,47,5,2662.75,2,3,3,26.6666666666667
356,63,5,2358,2,3,3,26.6666666666667
357,17,8,4455.49,1,5,4,33.3333333333333
358,72,2,1405.99,2,1,2,16.6666666666667
359,10,10,2921.76,1,7,3,36.6666666666667
360,10,5,5070.23,1,3,5,30
361,148,7,3428.15,4,4,3,36.6666666666667
362,2,5,1473.04,1,3,2,20
363,16,6,9458.17,1,4,9,46.6666666666667
364,13,6,3329.97,1,4,3,26.6666666666667
365,52,7,4724.04,2,4,5,36.6666666666667
366,117,6,2692.7,4,4,3,36.6666666666667
367,45,6,3634.45,2,4,4,33.3333333333333
368,15,9,3939.73,1,6,4,36.6666666666667
369,103,8,3931.77,3,5,4,40
370,113,7,3290.26,4,4,3,36.6666666666667
371,11,5,5004.52,1,3,5,30
372,33,8,2598.13,1,5,3,30
373,225,1,1103.43,7,,1,
374,15,6,5271.75,1,4,5,33.3333333333333
375,93,4,488,3,2,1,20
376,45,3,368.17,2,1,1,13.3333333333333
377,8,12,4276.97,1,8,4,43.3333333333333
378,126,7,3236.32,4,4,3,36.6666666666667
379,147,2,640.93,4,1,1,20
380,37,8,6196.16,2,5,6,43.3333333333333
381,4,8,4534.24,1,5,4,33.3333333333333
382,37,7,1657.45,2,4,2,26.6666666666667
383,53,3,987.49,2,1,1,13.3333333333333
384,87,5,2917.59,3,3,3,30
385,80,9,5220.52,3,6,5,46.6666666666667
386,68,5,2415.97,2,3,3,26.6666666666667
387,33,3,3417.78,1,1,3,16.6666666666667
388,57,3,1834.03,2,1,2,16.6666666666667
389,115,6,2123.26,4,4,2,33.3333333333333
390,78,5,1101.34,3,3,1,23.3333333333333
391,58,4,1315.06,2,2,2,20
392,103,7,5025.31,3,4,5,40
393,148,2,866.58,4,1,1,20
394,47,8,5445.46,2,5,5,40
395,32,7,4597.74,1,4,4,30
396,31,6,4647.13,1,4,4,30
397,47,5,2618,2,3,3,26.6666666666667
398,14,7,938.5,1,4,1,20
399,95,5,4610.64,3,3,4,33.3333333333333
400,136,5,2688.92,4,3,3,33.3333333333333
401,31,7,3643.03,1,4,4,30
402,58,6,4965.43,2,4,5,36.6666666666667
403,58,6,3653.69,2,4,4,33.3333333333333
404,20,9,4965.7,1,6,5,40
405,16,6,3338.34,1,4,3,26.6666666666667
406,108,6,3486.14,3,4,3,33.3333333333333
407,11,9,4096.06,1,6,4,36.6666666666667
408,19,5,3082.28,1,3,3,23.3333333333333
409,15,4,2267.84,1,2,2,16.6666666666667
410,8,7,2177.93,1,4,2,23.3333333333333
411,189,5,2553.83,6,3,3,40
412,29,3,1055.03,1,1,1,10
413,169,5,3822.8,5,3,4,40
414,49,6,2304.56,2,4,2,26.6666666666667
415,250,2,1490.77,7,1,2,33.3333333333333
416,90,4,2348.41,3,2,3,26.6666666666667
417,72,7,3807.64,2,4,4,33.3333333333333
418,30,6,3325.13,1,4,3,26.6666666666667
419,16,7,5027.37,1,4,5,33.3333333333333
420,61,10,3652.17,2,7,4,43.3333333333333
421,58,6,3952.15,2,4,4,33.3333333333333
422,135,4,2390.84,4,2,3,30
423,143,5,1589.82,4,3,2,30
424,76,6,4053.59,3,4,4,36.6666666666667
425,27,7,7388.6,1,4,7,40
426,61,9,6933.15,2,6,6,46.6666666666667
427,111,4,2515.68,3,2,3,26.6666666666667
428,53,8,3355.11,2,5,3,33.3333333333333
429,20,7,2356.83,1,4,3,26.6666666666667
430,67,6,5625.17,2,4,5,36.6666666666667
431,140,1,1215.34,4,,2,
432,23,8,5110.17,1,5,5,36.6666666666667
433,17,8,3244.19,1,5,3,30
434,299,2,1027.89,9,1,1,36.6666666666667
435,104,4,4727.75,3,2,5,33.3333333333333
436,52,3,2124.71,2,1,2,16.6666666666667
437,50,6,3045.6,2,4,3,30
438,53,8,7692.39,2,5,7,46.6666666666667
439,101,6,2750.24,3,4,3,33.3333333333333
440,13,8,2481.19,1,5,3,30
441,64,3,1750.76,2,1,2,16.6666666666667
442,15,7,2789.25,1,4,3,26.6666666666667
443,207,6,3171.14,6,4,3,43.3333333333333
444,47,7,3807.46,2,4,4,33.3333333333333
445,26,11,8081.86,1,7,7,50
446,54,8,5363.3,2,5,5,40
447,2,6,2781.88,1,4,3,26.6666666666667
448,190,4,2413.08,6,2,3,36.6666666666667
449,135,6,3292.4,4,4,3,36.6666666666667
450,84,3,2440.73,3,1,3,23.3333333333333
451,68,6,2560.37,2,4,3,30
452,26,5,1561.59,1,3,2,20
453,43,8,2292.05,2,5,2,30
454,51,7,4738.75,2,4,5,36.6666666666667
455,69,3,1600.9,2,1,2,16.6666666666667
456,90,5,2183.1,3,3,2,26.6666666666667
457,117,5,3680.34,4,3,4,36.6666666666667
458,28,5,1247.24,1,3,2,20
459,40,5,2402.4,2,3,3,26.6666666666667
460,19,4,2017.66,1,2,2,16.6666666666667
461,22,8,5722.38,1,5,5,36.6666666666667
462,144,6,3600.26,4,4,4,40
463,69,6,3501.72,2,4,4,33.3333333333333
464,11,6,2102.99,1,4,2,23.3333333333333
465,6,6,3488.79,1,4,3,26.6666666666667
466,42,7,2813.66,2,4,3,30
467,171,6,3850.32,5,4,4,43.3333333333333
468,96,6,4063.59,3,4,4,36.6666666666667
469,103,10,4177.21,3,7,4,46.6666666666667
470,11,7,1890.57,1,4,2,23.3333333333333
471,50,6,3918.11,2,4,4,33.3333333333333
472,51,5,3309.79,2,3,3,26.6666666666667
473,117,9,8364.66,4,6,8,60
474,99,2,1520.73,3,1,2,20
475,26,7,2907.28,1,4,3,26.6666666666667
476,11,4,1353.61,1,2,2,16.6666666666667
477,37,5,3375.06,2,3,3,26.6666666666667
478,5,9,3320.21,1,6,3,33.3333333333333
479,78,9,3335.2,3,6,3,40
480,19,2,644.02,1,1,1,10
481,16,2,1617.21,1,1,2,13.3333333333333
482,77,10,5887.2,3,7,6,53.3333333333333
483,42,7,2307.78,2,4,2,26.6666666666667
484,21,4,1600.54,1,2,2,16.6666666666667
485,16,6,2715.28,1,4,3,26.6666666666667
486,93,5,4915.77,3,3,5,36.6666666666667
487,141,2,687.51,4,1,1,20
488,29,6,1043.64,1,4,1,20
489,126,5,2073.68,4,3,2,30
490,55,9,4593.01,2,6,4,40
491,70,7,2735.71,2,4,3,30
492,91,4,2707.9,3,2,3,26.6666666666667
493,77,3,151.94,3,1,1,16.6666666666667
494,135,2,784.43,4,1,1,20
495,130,6,4087.04,4,4,4,40
496,47,4,1310.77,2,2,2,20
497,61,4,1061.48,2,2,1,16.6666666666667
498,9,7,4982.41,1,4,5,33.3333333333333
499,57,11,4043.58,2,7,4,43.3333333333333
500,26,8,3977.81,1,5,4,33.3333333333333
501,130,4,1392.59,4,2,2,26.6666666666667
502,133,5,2959.58,4,3,3,33.3333333333333
503,85,3,1280.64,3,1,2,20
504,138,8,2714.76,4,5,3,40
505,16,5,3369.47,1,3,3,23.3333333333333
506,58,10,6985.24,2,7,6,50
507,38,7,4290.77,2,4,4,33.3333333333333
508,157,6,3533.36,5,4,4,43.3333333333333
509,91,6,4389.73,3,4,4,36.6666666666667
510,61,2,1694.59,2,1,2,16.6666666666667
511,13,4,1152.63,1,2,1,13.3333333333333
512,97,4,1136.34,3,2,1,20
513,16,5,4222.14,1,3,4,26.6666666666667
514,125,5,2144.29,4,3,2,30
515,16,9,6986.24,1,6,6,43.3333333333333
516,21,10,4722.21,1,7,5,43.3333333333333
517,12,6,2632.16,1,4,3,26.6666666666667
518,263,3,938.25,8,1,1,33.3333333333333
519,57,4,2326.39,2,2,2,20
520,18,5,819.26,1,3,1,16.6666666666667
521,156,2,624.9,5,1,1,23.3333333333333
522,43,4,1663.83,2,2,2,20
523,20,6,2795.77,1,4,3,26.6666666666667
524,140,7,2024.53,4,4,2,33.3333333333333
525,121,8,3584.83,4,5,4,43.3333333333333
526,156,3,1111.55,5,1,1,23.3333333333333
527,45,2,1694.76,2,1,2,16.6666666666667
528,136,6,4150.06,4,4,4,40
529,14,6,2339.14,1,4,3,26.6666666666667
530,164,3,1751.35,5,1,2,26.6666666666667
531,63,5,1761.46,2,3,2,23.3333333333333
532,30,6,3920.83,1,4,4,30
533,4,6,5387.05,1,4,5,33.3333333333333
534,8,8,4809.95,1,5,5,36.6666666666667
535,75,2,1261.57,3,1,2,20
536,34,4,3662.3,1,2,4,23.3333333333333
537,51,3,825.73,2,1,1,13.3333333333333
538,6,6,5619.99,1,4,5,33.3333333333333
539,38,8,1676.43,2,5,2,30
540,81,6,1821.03,3,4,2,30
541,139,5,2755.28,4,3,3,33.3333333333333
542,40,6,2098.52,2,4,2,26.6666666666667
543,2,5,1924.15,1,3,2,20
544,175,4,2246.42,5,2,2,30
545,8,6,5665.79,1,4,5,33.3333333333333
546,39,5,4449.53,2,3,4,30
547,76,6,2901.19,3,4,3,33.3333333333333
548,12,7,4223.29,1,4,4,30
549,42,8,3751.75,2,5,4,36.6666666666667
550,16,5,1437.72,1,3,2,20
551,154,4,2850,5,2,3,33.3333333333333
552,161,4,1577.7,5,2,2,30
553,21,6,2566.27,1,4,3,26.6666666666667
554,40,3,1670.67,2,1,2,16.6666666666667
555,167,4,3505.63,5,2,4,36.6666666666667
556,11,5,3985.03,1,3,4,26.6666666666667
557,183,2,830.31,5,1,1,23.3333333333333
558,37,7,3513.02,2,4,4,33.3333333333333
559,8,4,1824.48,1,2,2,16.6666666666667
560,43,6,3583.46,2,4,4,33.3333333333333
561,30,6,2891.59,1,4,3,26.6666666666667
562,38,5,2125.01,2,3,2,23.3333333333333
563,35,7,1931.13,1,4,2,23.3333333333333
564,13,6,2143.39,1,4,2,23.3333333333333
565,106,10,7079.07,3,7,7,56.6666666666667
566,54,3,2145.56,2,1,2,16.6666666666667
567,62,4,439.57,2,2,1,16.6666666666667
568,93,7,1258.1,3,4,2,30
569,100,4,6084.14,3,2,6,36.6666666666667
570,37,6,3446.07,2,4,3,30
571,74,3,2284.98,2,1,2,16.6666666666667
572,15,6,2600.44,1,4,3,26.6666666666667
573,107,2,1618.83,3,1,2,20
574,279,4,2172.41,8,2,2,40
575,250,2,714.24,7,1,1,30
576,9,6,4580.35,1,4,4,30
577,4,11,4242.34,1,7,4,40
578,201,7,2754.81,6,4,3,43.3333333333333
579,54,9,4204.6,2,6,4,40
580,26,5,2185.51,1,3,2,20
581,55,4,2223.55,2,2,2,20
582,151,4,2744.6,5,2,3,33.3333333333333
583,33,4,2258.19,1,2,2,16.6666666666667
584,134,4,1270.21,4,2,2,26.6666666666667
585,99,7,2991.86,3,4,3,33.3333333333333
586,92,3,2562.47,3,1,3,23.3333333333333
587,55,6,3293.38,2,4,3,30
588,21,5,3603.85,1,3,4,26.6666666666667
589,12,3,1397.9,1,1,2,13.3333333333333
590,45,12,6629.57,2,8,6,53.3333333333333
591,223,2,484.96,7,1,1,30
592,201,4,1071.53,6,2,1,30
593,3,6,3493.8,1,4,3,26.6666666666667
594,35,9,6630.72,1,6,6,43.3333333333333
595,186,3,2011.16,6,1,2,30
596,87,3,3836.34,3,1,4,26.6666666666667
597,63,5,1830.39,2,3,2,23.3333333333333
598,133,7,3535.56,4,4,4,40
599,117,5,4319.14,4,3,4,36.6666666666667
600,208,3,1854.78,6,1,2,30
601,60,5,1423.44,2,3,2,23.3333333333333
602,79,5,2568.76,3,3,3,30
603,51,7,3148.1,2,4,3,30
604,71,6,4661.96,2,4,4,33.3333333333333
605,4,8,5025.64,1,5,5,36.6666666666667
606,57,6,2488.53,2,4,3,30
607,60,9,6998.39,2,6,6,46.6666666666667
608,87,8,4050.11,3,5,4,40
609,38,4,2168.73,2,2,2,20
610,48,9,3399.91,2,6,3,36.6666666666667
611,5,8,3500.44,1,5,3,30
612,89,4,706.56,3,2,1,20
613,5,6,2098.59,1,4,2,23.3333333333333
614,20,9,6120.46,1,6,6,43.3333333333333
