customer_id,Recency,Frequency,Monetary,R,F,M,RFM,Customer_Class
195,2,7,9633.41,1,4.0,9,46.6666666666667,Medium Value
196,148,8,3738.0,4,5.0,4,43.3333333333333,Medium Value
197,29,9,3651.71,1,6.0,4,36.6666666666667,Medium Value
198,60,9,6631.87,2,6.0,6,46.6666666666667,Medium Value
199,17,4,2650.53,1,2.0,3,20.0,At Risk
200,9,9,7283.86,1,6.0,7,46.6666666666667,Medium Value
201,30,7,4159.18,1,4.0,4,30.0,Medium Value
202,20,3,1295.91,1,1.0,2,13.3333333333333,At Risk
203,13,5,1481.12,1,3.0,2,20.0,At Risk
204,29,8,6287.29,1,5.0,6,40.0,Medium Value
205,54,9,2008.27,2,6.0,2,33.3333333333333,Other
206,79,4,3816.65,3,2.0,4,30.0,At Risk
207,281,3,1630.03,8,1.0,2,36.6666666666667,Low Value
208,29,5,3342.02,1,3.0,3,23.3333333333333,At Risk
209,109,5,3081.07,3,3.0,3,30.0,At Risk
210,24,6,2957.03,1,4.0,3,26.6666666666667,Other
211,41,9,4090.05,2,6.0,4,40.0,Medium Value
212,189,2,1790.41,6,1.0,2,30.0,Other
213,30,11,8544.5,1,7.0,8,53.3333333333333,High Value
214,58,6,2498.84,2,4.0,3,30.0,Other
215,5,8,3889.39,1,5.0,4,33.3333333333333,Medium Value
216,18,4,2152.05,1,2.0,2,16.6666666666667,At Risk
217,6,8,2335.69,1,5.0,3,30.0,Other
218,16,4,1476.17,1,2.0,2,16.6666666666667,At Risk
219,42,6,1688.33,2,4.0,2,26.6666666666667,Other
220,17,6,4304.11,1,4.0,4,30.0,Medium Value
221,20,6,3865.68,1,4.0,4,30.0,Medium Value
222,22,2,1428.06,1,1.0,2,13.3333333333333,At Risk
223,54,7,4410.07,2,4.0,4,33.3333333333333,Medium Value
224,3,5,2461.79,1,3.0,3,23.3333333333333,At Risk
225,39,3,1587.55,2,1.0,2,16.6666666666667,At Risk
226,118,2,1173.86,4,1.0,2,23.3333333333333,At Risk
227,28,5,3906.03,1,3.0,4,26.6666666666667,At Risk
228,79,5,3719.75,3,3.0,4,33.3333333333333,At Risk
229,62,5,1811.84,2,3.0,2,23.3333333333333,At Risk
230,38,10,4745.01,2,7.0,5,46.6666666666667,Medium Value
231,47,4,2344.52,2,2.0,3,23.3333333333333,At Risk
232,143,6,3157.59,4,4.0,3,36.6666666666667,Other
233,19,6,2187.09,1,4.0,2,23.3333333333333,Other
234,13,9,5763.13,1,6.0,5,40.0,Medium Value
235,4,11,4685.82,1,7.0,5,43.3333333333333,Medium Value
236,8,4,2434.64,1,2.0,3,20.0,At Risk
237,28,8,3635.04,1,5.0,4,33.3333333333333,Medium Value
238,109,5,3112.57,3,3.0,3,30.0,At Risk
239,3,9,5928.23,1,6.0,6,43.3333333333333,Medium Value
240,90,5,1893.0,3,3.0,2,26.6666666666667,At Risk
241,49,4,1922.82,2,2.0,2,20.0,At Risk
242,133,7,2558.7,4,4.0,3,36.6666666666667,Other
243,76,5,2193.55,3,3.0,2,26.6666666666667,At Risk
244,196,3,3269.2,6,1.0,3,33.3333333333333,Other
245,14,5,2213.02,1,3.0,2,20.0,At Risk
246,29,9,3174.16,1,6.0,3,33.3333333333333,Other
247,114,7,4913.16,4,4.0,5,43.3333333333333,Medium Value
248,136,6,3059.94,4,4.0,3,36.6666666666667,Other
249,49,9,2236.13,2,6.0,2,33.3333333333333,Other
250,33,7,4019.05,1,4.0,4,30.0,Medium Value
251,40,4,1210.0,2,2.0,2,20.0,At Risk
252,64,5,2597.64,2,3.0,3,26.6666666666667,At Risk
253,19,4,1116.15,1,2.0,1,13.3333333333333,At Risk
254,43,7,6780.95,2,4.0,6,40.0,Medium Value
255,59,11,6813.82,2,7.0,6,50.0,Medium Value
256,2,5,1728.66,1,3.0,2,20.0,At Risk
257,94,5,3650.53,3,3.0,4,33.3333333333333,At Risk
258,20,5,1642.58,1,3.0,2,20.0,At Risk
259,29,4,2124.65,1,2.0,2,16.6666666666667,At Risk
260,10,9,3381.41,1,6.0,3,33.3333333333333,Other
261,52,9,4033.15,2,6.0,4,40.0,Medium Value
262,12,5,2117.86,1,3.0,2,20.0,At Risk
263,48,7,3476.94,2,4.0,3,30.0,Other
264,132,3,198.14,4,1.0,1,20.0,At Risk
265,81,4,2692.91,3,2.0,3,26.6666666666667,At Risk
266,34,4,1742.83,1,2.0,2,16.6666666666667,At Risk
267,132,4,2337.99,4,2.0,3,30.0,At Risk
268,71,4,2713.19,2,2.0,3,23.3333333333333,At Risk
269,170,5,1668.85,5,3.0,2,33.3333333333333,Other
270,9,7,4625.21,1,4.0,4,30.0,Medium Value
271,204,2,1026.27,6,1.0,1,26.6666666666667,Other
272,93,7,3842.07,3,4.0,4,36.6666666666667,Medium Value
273,30,10,6519.24,1,7.0,6,46.6666666666667,Medium Value
274,151,4,790.06,5,2.0,1,26.6666666666667,Other
275,134,7,4141.68,4,4.0,4,40.0,Medium Value
276,5,6,1107.95,1,4.0,1,20.0,Other
277,23,4,1967.13,1,2.0,2,16.6666666666667,At Risk
278,250,1,827.16,7,,1,,Other
279,16,6,2455.93,1,4.0,3,26.6666666666667,Other
280,45,11,7360.53,2,7.0,7,53.3333333333333,High Value
281,11,4,2233.67,1,2.0,2,16.6666666666667,At Risk
282,71,2,624.15,2,1.0,1,13.3333333333333,At Risk
283,93,6,4926.57,3,4.0,5,40.0,Medium Value
284,135,5,3251.42,4,3.0,3,33.3333333333333,At Risk
285,9,6,2626.74,1,4.0,3,26.6666666666667,Other
286,157,3,1737.19,5,1.0,2,26.6666666666667,Other
288,46,4,1808.73,2,2.0,2,20.0,At Risk
289,46,9,3924.11,2,6.0,4,40.0,Medium Value
290,13,5,3368.28,1,3.0,3,23.3333333333333,At Risk
291,42,2,605.01,2,1.0,1,13.3333333333333,At Risk
292,60,7,3631.6,2,4.0,4,33.3333333333333,Medium Value
293,12,5,1991.93,1,3.0,2,20.0,At Risk
294,117,7,5509.67,4,4.0,5,43.3333333333333,Medium Value
295,36,7,4539.9,1,4.0,4,30.0,Medium Value
296,10,3,2515.29,1,1.0,3,16.6666666666667,At Risk
297,10,4,3599.18,1,2.0,4,23.3333333333333,At Risk
298,10,10,5285.59,1,7.0,5,43.3333333333333,Medium Value
299,94,7,6897.92,3,4.0,6,43.3333333333333,Medium Value
300,158,5,3475.9,5,3.0,3,36.6666666666667,Other
301,95,2,89.71,3,1.0,1,16.6666666666667,At Risk
302,278,2,255.41,8,1.0,1,33.3333333333333,Low Value
303,45,3,3247.08,2,1.0,3,20.0,At Risk
304,82,9,2785.04,3,6.0,3,40.0,Other
305,35,7,2700.88,1,4.0,3,26.6666666666667,Other
306,125,2,239.35,4,1.0,1,20.0,At Risk
307,17,8,3465.61,1,5.0,3,30.0,Other
308,27,6,4086.21,1,4.0,4,30.0,Medium Value
309,11,4,2208.58,1,2.0,2,16.6666666666667,At Risk
310,10,7,4744.19,1,4.0,5,33.3333333333333,Medium Value
311,63,6,4054.48,2,4.0,4,33.3333333333333,Medium Value
312,15,6,5001.71,1,4.0,5,33.3333333333333,Medium Value
313,19,6,3186.63,1,4.0,3,26.6666666666667,Other
314,22,8,3200.15,1,5.0,3,30.0,Other
315,29,9,2200.11,1,6.0,2,30.0,Other
316,13,4,2158.71,1,2.0,2,16.6666666666667,At Risk
317,53,5,3537.39,2,3.0,4,30.0,At Risk
318,11,7,3632.18,1,4.0,4,30.0,Medium Value
319,73,5,3955.91,2,3.0,4,30.0,At Risk
320,14,10,7204.66,1,7.0,7,50.0,High Value
321,14,5,2006.18,1,3.0,2,20.0,At Risk
322,3,12,10341.57,1,8.0,9,60.0,High Value
323,37,6,2020.73,2,4.0,2,26.6666666666667,Other
324,23,5,1779.7,1,3.0,2,20.0,At Risk
325,135,6,4465.08,4,4.0,4,40.0,Medium Value
326,163,3,1201.25,5,1.0,2,26.6666666666667,Other
327,18,5,3498.63,1,3.0,3,23.3333333333333,At Risk
328,6,8,2357.8,1,5.0,3,30.0,Other
329,36,6,3618.01,1,4.0,4,30.0,Medium Value
330,109,6,5296.8,3,4.0,5,40.0,Medium Value
331,84,6,4404.67,3,4.0,4,36.6666666666667,Medium Value
332,265,2,239.35,8,1.0,1,33.3333333333333,Low Value
333,24,7,3320.1,1,4.0,3,26.6666666666667,Other
334,58,6,2127.59,2,4.0,2,26.6666666666667,Other
335,26,2,456.99,1,1.0,1,10.0,At Risk
336,84,5,2598.16,3,3.0,3,30.0,At Risk
337,39,6,3388.82,2,4.0,3,30.0,Other
338,12,7,2343.71,1,4.0,3,26.6666666666667,Other
339,60,5,4327.24,2,3.0,4,30.0,At Risk
340,32,8,2781.36,1,5.0,3,30.0,Other
341,136,2,955.08,4,1.0,1,20.0,At Risk
342,95,4,667.15,3,2.0,1,20.0,At Risk
343,135,8,3914.16,4,5.0,4,43.3333333333333,Medium Value
344,10,9,8101.26,1,6.0,7,46.6666666666667,Medium Value
345,21,7,3971.46,1,4.0,4,30.0,Medium Value
346,14,9,6420.7,1,6.0,6,43.3333333333333,Medium Value
347,61,7,8326.37,2,4.0,8,46.6666666666667,Medium Value
348,127,6,2071.99,4,4.0,2,33.3333333333333,Other
349,168,5,1669.26,5,3.0,2,33.3333333333333,Other
350,6,6,1008.71,1,4.0,1,20.0,Other
351,13,2,1438.62,1,1.0,2,13.3333333333333,At Risk
352,27,6,4404.4,1,4.0,4,30.0,Medium Value
353,25,11,6792.83,1,7.0,6,46.6666666666667,Medium Value
354,69,6,3101.72,2,4.0,3,30.0,Other
355,47,5,2662.75,2,3.0,3,26.6666666666667,At Risk
356,63,5,2358.0,2,3.0,3,26.6666666666667,At Risk
357,17,8,4455.49,1,5.0,4,33.3333333333333,Medium Value
358,72,2,1405.99,2,1.0,2,16.6666666666667,At Risk
359,10,10,2921.76,1,7.0,3,36.6666666666667,Loyal Customer
360,10,5,5070.23,1,3.0,5,30.0,At Risk
361,148,7,3428.15,4,4.0,3,36.6666666666667,Other
362,2,5,1473.04,1,3.0,2,20.0,At Risk
363,16,6,9458.17,1,4.0,9,46.6666666666667,Medium Value
364,13,6,3329.97,1,4.0,3,26.6666666666667,Other
365,52,7,4724.04,2,4.0,5,36.6666666666667,Medium Value
366,117,6,2692.7,4,4.0,3,36.6666666666667,Other
367,45,6,3634.45,2,4.0,4,33.3333333333333,Medium Value
368,15,9,3939.73,1,6.0,4,36.6666666666667,Medium Value
369,103,8,3931.77,3,5.0,4,40.0,Medium Value
370,113,7,3290.26,4,4.0,3,36.6666666666667,Other
371,11,5,5004.52,1,3.0,5,30.0,At Risk
372,33,8,2598.13,1,5.0,3,30.0,Other
373,225,1,1103.43,7,,1,,Other
374,15,6,5271.75,1,4.0,5,33.3333333333333,Medium Value
375,93,4,488.0,3,2.0,1,20.0,At Risk
376,45,3,368.17,2,1.0,1,13.3333333333333,At Risk
377,8,12,4276.97,1,8.0,4,43.3333333333333,Medium Value
378,126,7,3236.32,4,4.0,3,36.6666666666667,Other
379,147,2,640.93,4,1.0,1,20.0,At Risk
380,37,8,6196.16,2,5.0,6,43.3333333333333,Medium Value
381,4,8,4534.24,1,5.0,4,33.3333333333333,Medium Value
382,37,7,1657.45,2,4.0,2,26.6666666666667,Other
383,53,3,987.49,2,1.0,1,13.3333333333333,At Risk
384,87,5,2917.59,3,3.0,3,30.0,At Risk
385,80,9,5220.52,3,6.0,5,46.6666666666667,Medium Value
386,68,5,2415.97,2,3.0,3,26.6666666666667,At Risk
387,33,3,3417.78,1,1.0,3,16.6666666666667,At Risk
388,57,3,1834.03,2,1.0,2,16.6666666666667,At Risk
389,115,6,2123.26,4,4.0,2,33.3333333333333,Other
390,78,5,1101.34,3,3.0,1,23.3333333333333,At Risk
391,58,4,1315.06,2,2.0,2,20.0,At Risk
392,103,7,5025.31,3,4.0,5,40.0,Medium Value
393,148,2,866.58,4,1.0,1,20.0,At Risk
394,47,8,5445.46,2,5.0,5,40.0,Medium Value
395,32,7,4597.74,1,4.0,4,30.0,Medium Value
396,31,6,4647.13,1,4.0,4,30.0,Medium Value
397,47,5,2618.0,2,3.0,3,26.6666666666667,At Risk
398,14,7,938.5,1,4.0,1,20.0,Other
399,95,5,4610.64,3,3.0,4,33.3333333333333,At Risk
400,136,5,2688.92,4,3.0,3,33.3333333333333,At Risk
401,31,7,3643.03,1,4.0,4,30.0,Medium Value
402,58,6,4965.43,2,4.0,5,36.6666666666667,Medium Value
403,58,6,3653.69,2,4.0,4,33.3333333333333,Medium Value
404,20,9,4965.7,1,6.0,5,40.0,Medium Value
405,16,6,3338.34,1,4.0,3,26.6666666666667,Other
406,108,6,3486.14,3,4.0,3,33.3333333333333,Other
407,11,9,4096.06,1,6.0,4,36.6666666666667,Medium Value
408,19,5,3082.28,1,3.0,3,23.3333333333333,At Risk
409,15,4,2267.84,1,2.0,2,16.6666666666667,At Risk
410,8,7,2177.93,1,4.0,2,23.3333333333333,Other
411,189,5,2553.83,6,3.0,3,40.0,Other
412,29,3,1055.03,1,1.0,1,10.0,At Risk
413,169,5,3822.8,5,3.0,4,40.0,Other
414,49,6,2304.56,2,4.0,2,26.6666666666667,Other
415,250,2,1490.77,7,1.0,2,33.3333333333333,Low Value
416,90,4,2348.41,3,2.0,3,26.6666666666667,At Risk
417,72,7,3807.64,2,4.0,4,33.3333333333333,Medium Value
418,30,6,3325.13,1,4.0,3,26.6666666666667,Other
419,16,7,5027.37,1,4.0,5,33.3333333333333,Medium Value
420,61,10,3652.17,2,7.0,4,43.3333333333333,Medium Value
421,58,6,3952.15,2,4.0,4,33.3333333333333,Medium Value
422,135,4,2390.84,4,2.0,3,30.0,At Risk
423,143,5,1589.82,4,3.0,2,30.0,At Risk
424,76,6,4053.59,3,4.0,4,36.6666666666667,Medium Value
425,27,7,7388.6,1,4.0,7,40.0,Medium Value
426,61,9,6933.15,2,6.0,6,46.6666666666667,Medium Value
427,111,4,2515.68,3,2.0,3,26.6666666666667,At Risk
428,53,8,3355.11,2,5.0,3,33.3333333333333,Other
429,20,7,2356.83,1,4.0,3,26.6666666666667,Other
430,67,6,5625.17,2,4.0,5,36.6666666666667,Medium Value
431,140,1,1215.34,4,,2,,Other
432,23,8,5110.17,1,5.0,5,36.6666666666667,Medium Value
433,17,8,3244.19,1,5.0,3,30.0,Other
434,299,2,1027.89,9,1.0,1,36.6666666666667,Low Value
435,104,4,4727.75,3,2.0,5,33.3333333333333,At Risk
436,52,3,2124.71,2,1.0,2,16.6666666666667,At Risk
437,50,6,3045.6,2,4.0,3,30.0,Other
438,53,8,7692.39,2,5.0,7,46.6666666666667,Medium Value
439,101,6,2750.24,3,4.0,3,33.3333333333333,Other
440,13,8,2481.19,1,5.0,3,30.0,Other
441,64,3,1750.76,2,1.0,2,16.6666666666667,At Risk
442,15,7,2789.25,1,4.0,3,26.6666666666667,Other
443,207,6,3171.14,6,4.0,3,43.3333333333333,Other
444,47,7,3807.46,2,4.0,4,33.3333333333333,Medium Value
445,26,11,8081.86,1,7.0,7,50.0,High Value
446,54,8,5363.3,2,5.0,5,40.0,Medium Value
447,2,6,2781.88,1,4.0,3,26.6666666666667,Other
448,190,4,2413.08,6,2.0,3,36.6666666666667,Other
449,135,6,3292.4,4,4.0,3,36.6666666666667,Other
450,84,3,2440.73,3,1.0,3,23.3333333333333,At Risk
451,68,6,2560.37,2,4.0,3,30.0,Other
452,26,5,1561.59,1,3.0,2,20.0,At Risk
453,43,8,2292.05,2,5.0,2,30.0,Other
454,51,7,4738.75,2,4.0,5,36.6666666666667,Medium Value
455,69,3,1600.9,2,1.0,2,16.6666666666667,At Risk
456,90,5,2183.1,3,3.0,2,26.6666666666667,At Risk
457,117,5,3680.34,4,3.0,4,36.6666666666667,At Risk
458,28,5,1247.24,1,3.0,2,20.0,At Risk
459,40,5,2402.4,2,3.0,3,26.6666666666667,At Risk
460,19,4,2017.66,1,2.0,2,16.6666666666667,At Risk
461,22,8,5722.38,1,5.0,5,36.6666666666667,Medium Value
462,144,6,3600.26,4,4.0,4,40.0,Medium Value
